KCD코드,산정특례코드,항목분류,질환명(한글),질환명(영문),검사기준(신규등록기준),검사항목(신규등록기준),필수검사조합(신규등록기준),검사기준(재등록기준),검사항목(재등록기준),필수검사조합(재등록기준)
Q92.3,V900,"선천 기형,변형 및 염색체 이상",포토키-룹스키 증후군,Potocki-Lupski syndrome,"o 특징적인 임상증상(발달지연, 정신지체, 자폐스펙트럼, 심장기형, 저긴장증, 수유곤란, 체중증가부전, 수면무호흡 등)을 보이면서 유전학적 검사에서 염색체 17번의 단완근위부(17p11.2)의 중복이 확인된 경우
o 유전자검사: 염색체 마이크로어레이, FISH, MLPA 등 세포유전학적 검사

* 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 장애의 원인 질환이 해당 질환인 경우에 한함
 - 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요","유전학검사, 임상진단, 장애정도","(유전학검사, 임상진단, 장애정도)","최초등록과 동일하며, 5년이후 장애진단이 있으면서 의료진의 임상소견으로 재등록필요하다 사료될 경우

* 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도","(임상진단, 장애정도)"
Q92.3,V900,"선천 기형,변형 및 염색체 이상",15장완11-13 미세중복 증후군,15q11q13 microduplication syndrome,"- 임상증상: 근긴장 저하, 발달지연, 언어 지연, 경련, 자폐 범주성 장애, 행동장애, 경도의 두개 안면 특징 (대두증, 눈꼬리 내림, 내안각 주름, 손가락 굽음 등), 저신장, 심기형

- 유전학 검사: 염색체 검사 혹은 특수염색체검사(염색체 마이크로어레이 검사, FISH 검사)

 * 기타 : 수술필요 또는 장애정도진단 (신체적장애 또는 정신적장애가 ""심한 장애""인 경우)
 – 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함
 – 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요(장애정도 무관하게 기타 항목 체크하여 신청)","유전학검사, 임상진단, 장애정도 또는 수술필요","(유전학검사, 임상진단, 장애정도 또는 수술필요)","최초등록과 동일하며, 5년 이후 재등록 필요하다 사료될 경우 의료진의 임상소견 및 장애정도로 등록가능

* 기타 : 장애정도진단 (신체적장애 또는 정신적장애가 ""심한 장애""인 경우)
 – 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도","(임상진단, 장애정도)"
Q92.3,V900,"선천 기형,변형 및 염색체 이상",7장완11.23 미세중복 증후군,7q11.23 microduplication syndrome,"- 임상증상: 독특한 두개 안면 특징 (대뇌, 넓은 이마, 곧은 눈궁, 넓은 비강 끝, 짧은 인중, 얇은 윗입술 및 안면 비대칭), 심장 결함, 횡격막 탈장, 신장 기형, 잠복고환, 정신 운동 지체, 저긴장증 및 뇌기형 등

- 유전학 검사: 염색체 검사 혹은 특수염색체검사(고식적 핵형검사, 염색체 마이크로어레이, FISH 검사)

 * 기타 : 수술필요 또는 장애정도진단 (신체적장애 또는 정신적장애가 ""심한 장애""인 경우)
 – 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함
 – 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요(장애정도 무관하게 기타 항목 체크하여 신청)","유전학검사, 임상진단, 장애정도 또는 수술필요","(유전학검사, 임상진단, 장애정도 또는 수술필요)","최초등록과 동일하며, 5년 이후 재등록 필요하다 사료될 경우 의료진의 임상소견 및 장애정도로 등록가능

* 기타 : 장애정도진단 (신체적장애 또는 정신적장애가 ""심한 장애""인 경우)
 – 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도","(임상진단, 장애정도)"
Q92.2,V900,"선천 기형,변형 및 염색체 이상",10단완삼염색체증,Trisomy 10p,"o 임상증상: 임상증상으로 저긴장증, 발달 지연, 성장 부진, 외형의 이상, 구개열, 심장, 콩팥, 눈, 뼈 기형 등
o 유전자검사: 염색체 혹은 특수 염색체검사(염색체 마이크로 어레이, MLPA, FISH 등)에서 10번 단완의 중복이 확인된 경우 

* 수술(시술) 필요 또는 장애정도진단 (신체적 장애 또는 정신적장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함
 - 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요","유전학검사, 임상진단, 장애정도 또는 수술필요","(유전학검사, 임상진단, 장애정도 또는 수술필요)","최초등록과 동일하며, 5년이후 재등록필요하다 사료될 경우 의료진의 임상소견 및 수술필요성(혹은 장애정도진단)으로 등록

* 신규등록시 유전학적검사로 진단되어 등록한 경우 재등록시 유전학적검사의 재검은 필요없음
* 수술(시술) 필요 또는 장애정도진단 (신체적 장애 또는 정신적장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도 또는 수술필요","(임상진단, 장애정도 또는 수술필요)"
Q91.7,V160,"선천 기형,변형 및 염색체 이상",13삼염색체증후군,Trisomy 13 Syndrome,"o 외형상 특징
 (1) 소두증, 소안구증, 구순열 및 구개열, 낮은 변형귀, 소하악증
 (2) 전전뇌(holoprosencephaly), 중앙부 두피결손
 (3) 다지증 
 (4) 심장기형 : 심방중격결손, 심실중격결손, 동맥관개존증
 (5) 신장기형 : 다낭신 
 (6) 잠복고환 
 (7) 심한 정신지체 
 (8) 발달지연
o 염색체 검사상 13번 염색체 3개가 존재

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함
 - 공단 신청일 기준, 만 2세 미만의 경우 장애정도 불필요","유전학검사, 임상진단, 장애정도 또는 수술필요","(유전학검사, 임상진단, 장애정도 또는 수술필요)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다고 사료될 경우 의료진의 임상소견만으로 등록

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도 또는 수술필요","(임상진단, 장애정도 또는 수술필요)"
Q91.6,V160,"선천 기형,변형 및 염색체 이상","13삼염색체증, 전위","Trisomy 13, translocation","o 외형상 특징
 (1) 소두증, 소안구증, 구순열 및 구개열, 낮은 변형귀, 소하악증
 (2) 전전뇌(holoprosencephaly), 중앙부 두피결손
 (3) 다지증 
 (4) 심장기형 : 심방중격결손, 심실중격결손, 동맥관개존증
 (5) 신장기형 : 다낭신 
 (6) 잠복고환 
 (7) 심한 정신지체 
 (8) 발달지연
o 염색체 검사상 13번 염색체 3개가 존재

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함
 - 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요","유전학검사, 임상진단, 장애정도 또는 수술필요","(유전학검사, 임상진단, 장애정도 또는 수술필요)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다고 사료될 경우 의료진의 임상소견만으로 등록

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도 또는 수술필요","(임상진단, 장애정도 또는 수술필요)"
Q91.5,V160,"선천 기형,변형 및 염색체 이상","13삼염색체증, 섞임증형(유사분열비분리)","Trisomy 13, mosaicism (mitotic nondisjunction)","o 외형상 특징
 (1) 소두증, 소안구증, 구순열 및 구개열, 낮은 변형귀, 소하악증
 (2) 전전뇌(holoprosencephaly), 중앙부 두피결손
 (3) 다지증 
 (4) 심장기형 : 심방중격결손, 심실중격결손, 동맥관개존증
 (5) 신장기형 : 다낭신 
 (6) 잠복고환 
 (7) 심한 정신지체 
 (8) 발달지연
o 염색체 검사상 13번 염색체 3개가 존재

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함
 - 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요","유전학검사, 임상진단, 장애정도 또는 수술필요","(유전학검사, 임상진단, 장애정도 또는 수술필요)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다고 사료될 경우 의료진의 임상소견만으로 등록

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도 또는 수술필요","(임상진단, 장애정도 또는 수술필요)"
Q91.4,V160,"선천 기형,변형 및 염색체 이상","13삼염색체증, 감수분열비분리","Trisomy 13, meiotic nondisjunction","o 외형상 특징
 (1) 소두증, 소안구증, 구순열 및 구개열, 낮은 변형귀, 소하악증
 (2) 전전뇌(holoprosencephaly), 중앙부 두피결손
 (3) 다지증 
 (4) 심장기형 : 심방중격결손, 심실중격결손, 동맥관개존증
 (5) 신장기형 : 다낭신 
 (6) 잠복고환 
 (7) 심한 정신지체 
 (8) 발달지연
o 염색체 검사상 13번 염색체 3개가 존재

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함
 - 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요","유전학검사, 임상진단, 장애정도 또는 수술필요","(유전학검사, 임상진단, 장애정도 또는 수술필요)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다고 사료될 경우 의료진의 임상소견만으로 등록

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도 또는 수술필요","(임상진단, 장애정도 또는 수술필요)"
Q91.2,V160,"선천 기형,변형 및 염색체 이상","18삼염색체증, 전위","Trisomy 18, translocation","o 특징적인 얼굴 (작고 좁은 머리, 후두골 돌출, 소구증, 구순열 및 구개열, 소하악증), 짧은 흉골, 작은 골반, 특징적인 손발 모양(집게손가락이 가운데 손가락 위에 새끼손가락이 넷째 손가락 위에 덮인 손 모양), 오목발바닥이면서 뒤꿈치가 두드러진 모양(rocker-bottom feet), 짧고 뒤로 굴곡된 첫째발가락 등이며, 이 밖에 저출생체중, 심장기형(심실중격결손, 동맥관개존증), 신장기형(마제신), 횡격막 탈장, 기관 식도루, 심한 정신지체, 발달지연
o 염색체 검사상 18번 염색체 3개가 존재

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함
 - 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요","유전학검사, 임상진단, 장애정도 또는 수술필요","(유전학검사, 임상진단, 장애정도 또는 수술필요)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다고 사료될 경우 의료진의 임상소견만으로 등록

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도 또는 수술필요","(임상진단, 장애정도 또는 수술필요)"
Q91.1,V160,"선천 기형,변형 및 염색체 이상","18삼염색체증, 섞임증형(유사분열비분리)","Trisomy 18, mosaicism (mitotic nondisjunction)","o 특징적인 얼굴 (작고 좁은 머리, 후두골 돌출, 소구증, 구순열 및 구개열, 소하악증), 짧은 흉골, 작은 골반, 특징적인 손발 모양(집게손가락이 가운데 손가락 위에 새끼손가락이 넷째 손가락 위에 덮인 손 모양), 오목발바닥이면서 뒤꿈치가 두드러진 모양(rocker-bottom feet), 짧고 뒤로 굴곡된 첫째발가락 등이며, 이 밖에 저출생체중, 심장기형(심실중격결손, 동맥관개존증), 신장기형(마제신), 횡격막 탈장, 기관 식도루, 심한 정신지체, 발달지연
o 염색체 검사상 18번 염색체 3개가 존재

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함
 - 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요","유전학검사, 임상진단, 장애정도 또는 수술필요","(유전학검사, 임상진단, 장애정도 또는 수술필요)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다고 사료될 경우 의료진의 임상소견만으로 등록

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도 또는 수술필요","(임상진단, 장애정도 또는 수술필요)"
Q91.0,V160,"선천 기형,변형 및 염색체 이상","18삼염색체증, 감수분열비분리","Trisomy 18, meiotic nondisjunction","o 임상 진단 기준: 특징적인 얼굴 (작고 좁은 머리, 후두골 돌출, 소구증, 구순열 및 구개열, 소하악증), 짧은 흉골, 작은 골반, 특징적인 손발 모양(집게손가락이 가운데 손가락 위에 새끼손가락이 넷째 손가락 위에 덮인 손 모양), 오목발바닥이면서 뒤꿈치가 두드러진 모양(rocker-bottom feet), 짧고 뒤로 굴곡된 첫째발가락 등이며, 이 밖에 저출생체중, 심장기형(심실중격결손, 동맥관개존증), 신장기형(마제신), 횡격막 탈장, 기관 식도루, 심한 정신지체, 발달지연
o 염색체 검사상 18번 염색체 3개가 존재

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함
 - 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요","유전학검사, 임상진단, 장애정도 또는 수술필요","(유전학검사, 임상진단, 장애정도 또는 수술필요)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다고 사료될 경우 의료진의 임상소견만으로 등록

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도 또는 수술필요","(임상진단, 장애정도 또는 수술필요)"
Q90.9,V159,"선천 기형,변형 및 염색체 이상",21삼염색체증 NOS,Trisomy 21 NOS,"o 특징적인 외모, 선천성 심장 질환, 선천성 소화기기형, 내분비 및 혈액학적 장애, 발달지연, 지적 장애 등의 증상
o 염색체 검사상 21번 염색체 3개 존재

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함
 - 공단 신청일 기준, 3세 미만의 경우 장애정도 불필요","유전학검사, 임상진단, 장애정도 또는 수술필요","(유전학검사, 임상진단, 장애정도 또는 수술필요)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다고 사료될 경우 의료진의 임상소견만으로 등록

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도 또는 수술필요","(임상진단, 장애정도 또는 수술필요)"
Q90.2,V159,"선천 기형,변형 및 염색체 이상","21삼염색체증, 전위","Trisomy 21, translocation","o 특징적인 외모, 선천성 심장 질환, 선천성 소화기기형, 내분비 및 혈액학적 장애, 발달지연, 지적 장애 등의 증상
o 염색체 검사상 21번 염색체 3개 존재

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함
 - 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요","유전학검사, 임상진단, 장애정도 또는 수술필요","(유전학검사, 임상진단, 장애정도 또는 수술필요)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다고 사료될 경우 의료진의 임상소견만으로 등록

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도 또는 수술필요","(임상진단, 장애정도 또는 수술필요)"
Q90.1,V159,"선천 기형,변형 및 염색체 이상","21삼염색체증, 섞임증형(유사분열비분리)","Trisomy 21, mosaicism (mitotic nondisjunction)","o 특징적인 외모, 선천성 심장 질환, 선천성 소화기기형, 내분비 및 혈액학적 장애, 발달지연, 지적 장애 등의 증상
o 염색체 검사상 21번 염색체 3개 존재

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함
 - 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요","유전학검사, 임상진단, 장애정도 또는 수술필요","(유전학검사, 임상진단, 장애정도 또는 수술필요)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다고 사료될 경우 의료진의 임상소견만으로 등록

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도 또는 수술필요","(임상진단, 장애정도 또는 수술필요)"
Q90.0,V159,"선천 기형,변형 및 염색체 이상","21삼염색체증, 감수분열비분리","Trisomy 21, meiotic nondisjunction","o 특징적인 외모, 선천성 심장 질환, 선천성 소화기기형, 내분비 및 혈액학적 장애, 발달지연, 지적 장애 등의 증상
o 염색체 검사상 21번 염색체 3개 존재","유전학검사, 임상진단","(유전학검사, 임상진단)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다고 사료될 경우 의료진의 임상소견만으로 등록",임상진단,(임상진단)
Q87.8,V900,"선천 기형,변형 및 염색체 이상",펠란-맥더미드 증후군(22장완 13.3 결손 증후군),Phelan-McDermid syndrome(22q13.3 deletion syndrome),"o 임상증상 : 근긴장 저하, 지적 장애, 성장 지연, 언어 발달 장애, 더워하는 경향, 마르고 키가 큰 골격. 긴 속눈썹, 처진 눈꼬리, 큰 눈, 주름 없는 귓바퀴, 두드러진 코끝, 뾰족한 턱, 큰 손, 딱딱해지고 부서지기 쉬운 발톱 등임. 그 외 만성 설사, 변비, 위식도 역류 등 소화기계 문제, 간질, 미세 운동 기술 지연, 뇌발달 지연, 방광요관을 비롯한 콩팥의 문제, 사시와 같은 시야 문제, 팔, 다리의 부종(림프부종), 귀의 감염을 비롯한 잦은 감염 등. 행동의 장애로 음식이 아닌 것을 입에 넣거나 씹는 현상, 통증에 둔감함, 손뼉을 치거나 반복적인 행동을 보이는 자폐 성향의 행동 등을 보임. 
o 유전학 검사 : 염색체 마이크로 어레이나 염색체 미세결실 검사에서 22q13.3 결실 발견 또는 SHANK3 유전자 등

* 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 – 장애의 원인 질환이 해당 질환인 경우에 한함
 – 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요","유전학검사, 임상진단, 장애정도","(유전학검사, 임상진단, 장애정도)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다고 사료될 경우 의료진의 임상소견만으로 등록

* 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 – 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도","(임상진단, 장애정도)"
Q87.8,V900,"선천 기형,변형 및 염색체 이상",알스트롬 증후군,Alstrom syndrome,"1. 출생시 ~ 2세 : 주진단 기준 2가지를 모두 만족하거나 주진단 기준 1가지와 2가지의 부진단 기준을 만족하는 경우
  1) 주진단 기준 :
  - 유전자 검사를 통한 ALMS1 유전자의 돌연변이를 확인하거나 알스트롬 증후군의 가족력이 있는 경우
   - 안구진탕, 빛에 대한  민감성 등의 안과적 증상이 있는 경우
  2)부진단 기준 :
  - 비만
  - 울혈성 심부전을 동반한 확장성 심근병증   
2. 3~14세 : 주진단 기준 두가지를 모두 만족하거나 주진단 기준 1가지와 부진단 기준 3가지를 만족하는 경우
3. 15세부터 성인 : 주진단 기준 두가지를 모두 만족하거나 주진단 기준 1가지와 부진단 기준 4가지를 만족하는 경우
 1) 주진단 기준 :
  - 유전자 검사를 통한 ALMS1 유전자의 돌연변이를 확인하거나 알스트롬 증후군의 가족력이 있는 경우
  - 안구진탕, 빛에 대한  민감성 등의 안과적 증상이 있는 경우
 2) 부진단 기준 :
  - 비만, 인슐린 저항성 또는 제2형 당뇨병
  - 울혈성 심부전을 동반한 확장성 심근병증의 과거력이 있는 경우
  - 청력 장애(내이에 대한 CT, MRI 와 청각검사)
  - 간부전
  - 신부전
  - 작은 키
  - 남성에서 성선기능저하증, 여성에서 불규칙한 생리 또는 고알도스테론혈증(15세이상만 적용)","영상검사, 유전학검사, 임상진단, 청각검사","(영상검사, 유전학검사, 임상진단, 청각검사)","최초등록과 동일하며, 5년이후 재등록필요하다 사료될 경우 의료진의 임상소견과 청력검사 등 필요","임상진단, 청각검사","(임상진단, 청각검사)"
Q87.8,V267,"선천 기형,변형 및 염색체 이상",젤웨거 증후군,Zellweger syndrome,"o 1세 이전에 발현된 전형적인 임상증상[심한 근긴장저하증, 특징적 얼굴 모습 (이마가 넓고 뒤통수가 납작, 큰 대천문, 넓게 벌어진 두개골 봉합선, 외이 모양 이상, 넓은 콧대, 눈안쪽 주름), 수유 부전, 간 낭종을 동반한 간기능 이상, 골격계 이상 (연골이형성증), 심한 발달 지연 및 퇴행 등]
o 혈액검사에서 Very long chain fatty acid(VLCFA)의 증가
o 참고: 효소분석에서 Dihydroxyacetone phosphate acyltransferase (DHAPAT) 결핍 증명이 진단에 도움을 줄 수 있음
o 유전학적 진단: PEX1, PXMP3 [PEX2], PEX3, PEX5, PEX6, PEX10, PEX12, PEX13, PEX14, PEX16, PEX19, and PEX26 등의 유전자에서 돌연변이 발견

* 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 장애의 원인 질환이 해당 질환인 경우에 한함
 - 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요","영상검사, 특수생화학/면역학·도말/배양검사, 유전학검사, 임상진단, 장애정도","(영상검사, 특수생화학/면역학·도말/배양검사, 유전학검사, 임상진단, 장애정도)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다고 사료될 경우 의료진의 임상소견만으로 등록

* 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도","(임상진단, 장애정도)"
Q87.8,V900,"선천 기형,변형 및 염색체 이상",아가미-귀-신장 증후군,Branchiootorenal syndrome,"3가지 이상의 주증상 혹은 2가지의 주증상과 2가지 이상의 부증상을 보유하면서 EYA1, SIX1, SIX5 유전자의 돌연변이가 확인된 경우

o 주증상
1) 제2아가미궁 이상
2) 난청
3) 귀앞의 구멍(pit)
4) 청각기관의 기형
5) 신장 기형

o 부증상
1) 외이도의 기형
2) 중이의 기형
3) 내이의 기형
4) 귀앞의 쥐젖(tag)
5) 안면비대칭, 구개의 이상 ","영상검사, 유전학검사, 임상진단","(영상검사, 유전학검사, 임상진단)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다고 사료될 경우 의료진의 임상소견만으로 등록",임상진단,(임상진단)
Q87.8,V267,"선천 기형,변형 및 염색체 이상",로렌스-문(-바르데)-비들 증후군,Laurence-Moon(-Bardet)-Biedl syndrome,"o 아래 제시한 일차기준항목 중 4개이상 혹은 일차기준항목 중 3개이상이면서 이차기준항목 중 2개 이상이 충족되는 경우
(1) 일차기준항목
(i) 망막색소변성증
(ii) 새끼손가락 혹은 새끼발가락의 다지증
(iii) 체간 비만 
(iv) 학습 지연
(v) 남자의 경우 고환기능부전증, 여자의 경우 생식기 모양 이상
(vi) 신장 형성이상, 신장의 낭성세뇨관질환(신장황폐증), 단백뇨, 만성신부전
(2) 이차기준항목
(i) 언어 발달 지연 혹은 언어 장애
(ii) 전반적 발달 지연
(iii) 행동학적 이상
(iv) 기타 안과적 문제(사시, 백내장, 약시)
(v) 단지증 혹은 합지증
(vi) 실조증, 평형기능 이상
(vii) 하지의 경한 근긴장도 증가
(viii) 2형 당뇨
(ix) 치과적 문제(부정교합, 치아 부족 및 치수의 저형성, 높은 입천장)
(x) 심혈관 기형(대동맥판 협착, 심방중격결손, 심실중격결손, 동맥관개존증, 심근증)
(xi) 간섬유화 혹은 담관 확장증, 담관성 간경변
(xii) 두개안면기형(대두증, 좁은 이마, 큰귀, 작은 눈, 긴 인중, 짧고 작은 코, 안면 중앙부 저형성, 경한 아래턱 후퇴증)
(xiii) 선천성 거대 결장
(xiv) 냄새를 맡지 못함
o 참고: BBS1, BBS2, ARL6 (BBS3), BBS4, BBS5, MKKS (BBS6), BBS7, TTC8 (BBS8), BBS9, BBS10, TRIM32 (BBS11), BBS12, MKS1 (BBS13), CEP290 (BBS14). WDPCP (BBS15), SDCCAG8 (BBS16) 등 원인 유전자의 돌연변이가 확인되는 경우 진단에 도움이 될 수 있음

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함
 - 공단 신청일 기준, 3세 미만의 경우 장애정도 불필요","영상검사, 특수생화학/면역학·도말/배양검사, 유전학검사, 임상진단, 장애정도 또는 수술필요","(영상검사, 특수생화학/면역학·도말/배양검사, 임상진단, 장애정도 또는 수술필요) 또는 (영상검사, 특수생화학/면역학·도말/배양검사, 유전학검사, 임상진단, 장애정도 또는 수술필요)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다고 사료될 경우 의료진의 임상소견만으로 등록

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애(지적장애 또는 자폐성장애)가 ""심한 장애""인 경우)
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도 또는 수술필요","(임상진단, 장애정도 또는 수술필요)"
